time,weathercode (wmo code),temperature_2m_max (Â°C),temperature_2m_min (Â°C),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),winddirection_10m_dominant (Â°)
2022-12-05,51,2.9,-1.6,0.40,0.00,15.9,328
2022-12-06,73,2.3,0.8,6.10,0.98,10.5,309
2022-12-07,73,2.0,-0.3,2.70,1.61,22.5,205
2022-12-08,3,3.0,-0.8,0.00,0.00,18.4,236
2022-12-09,51,2.6,-2.0,0.20,0.00,12.0,271
2022-12-10,71,0.4,-1.3,0.00,0.98,14.1,57
2022-12-11,73,-1.3,-4.6,0.00,7.14,17.9,99
2022-12-12,73,-0.3,-4.4,0.00,2.73,19.9,171
2022-12-13,3,-1.4,-7.9,0.00,0.00,19.9,191
2022-12-14,73,-5.0,-15.0,0.00,0.42,14.5,297
2022-12-15,73,-3.4,-5.7,0.00,1.05,12.3,208
2022-12-16,73,-3.4,-5.9,0.00,3.15,17.8,40
2022-12-17,71,-5.2,-7.7,0.00,0.63,15.2,104
2022-12-18,3,-4.0,-7.9,0.00,0.00,9.7,250
2022-12-19,71,-2.1,-9.3,0.10,0.07,21.5,172
2022-12-20,53,2.0,-1.2,4.80,0.00,21.0,219
2022-12-21,53,2.1,-0.2,2.20,0.00,16.0,216
2022-12-22,51,4.4,2.2,0.50,0.00,16.3,208
2022-12-23,53,6.6,4.6,5.30,0.00,15.6,239
2022-12-24,51,4.8,1.7,4.70,0.00,15.3,48
2022-12-25,51,5.6,2.6,0.70,0.00,13.2,152
2022-12-26,61,9.6,3.8,8.00,0.00,19.8,202
2022-12-27,51,8.2,2.6,0.80,0.00,23.9,272
2022-12-28,3,5.5,0.2,0.00,0.00,20.1,222
2022-12-29,51,7.5,4.0,0.80,0.00,19.9,217
2022-12-30,3,8.2,2.4,0.00,0.00,19.0,231
2022-12-31,53,12.5,2.7,1.00,0.00,24.1,215
2023-01-01,51,15.5,9.9,0.10,0.00,24.8,240
2023-01-02,51,11.7,7.3,0.20,0.00,18.1,215
2023-01-03,3,9.9,3.1,0.00,0.00,21.0,272
2023-01-04,61,7.0,-0.2,5.10,0.00,27.2,222
2023-01-05,61,8.3,2.5,10.10,0.00,28.6,278
2023-01-06,75,1.8,-1.0,0.30,3.22,21.6,40
2023-01-07,3,5.9,1.4,0.00,0.00,11.5,181
2023-01-08,3,5.2,2.9,0.00,0.00,19.7,149
2023-01-09,53,6.8,3.1,2.10,0.00,15.8,158
2023-01-10,51,5.4,2.3,1.60,0.00,12.6,319
2023-01-11,51,3.7,1.4,0.10,0.00,18.8,172
2023-01-12,53,8.0,4.0,1.80,0.00,19.6,206
